Date,Time,Core Clocks (avg) [MHz],Core 0 Clock [MHz],Core 1 Clock [MHz],Core 2 Clock [MHz],Core 3 Clock [MHz],Average Effective Clock [MHz],Core Temperatures (avg) [°C],Core 0 [°C],Core 1 [°C],Core 2 [°C],Core 3 [°C],Core Distance to TjMAX (avg) [°C],Core 0 Distance to TjMAX [°C],Core 1 Distance to TjMAX [°C],Core 2 Distance to TjMAX [°C],Core 3 Distance to TjMAX [°C],CPU Package [°C],Core Max [°C],CPU Package [°C],CPU IA Cores [°C],CPU GT Cores (Graphics) [°C],CPU Package Power [W]
16.7.2022,50:36.7,3392.5,3392.5,3392.5,3392.5,3392.5,1951.5,72,76,73,70,68,28,24,27,30,32,76,76,80,80,67,31.483
16.7.2022,50:38.7,3391.7,3391.7,3391.7,3391.7,3391.7,1600.3,81,81,82,81,78,20,19,18,19,22,82,82,82,82,69,28.797
16.7.2022,50:40.8,3367.6,3392.5,3292.7,3392.5,3392.5,1975.8,75,74,78,75,74,25,26,22,25,26,78,78,80,80,70,32.417
16.7.2022,50:42.9,3390,3390,3390,3390,3390,1221.7,71,71,73,71,69,29,29,27,29,31,76,73,76,76,69,25.487
16.7.2022,50:45.0,3390.9,3390.9,3390.9,3390.9,3390.9,1774.1,74,72,77,72,73,27,28,23,28,27,76,77,80,80,69,30.586
16.7.2022,50:47.0,3391.7,3391.7,3391.7,3391.7,3391.7,970.3,69,69,74,67,67,31,31,26,33,33,75,74,75,75,68,21.788
16.7.2022,50:49.1,3341.8,3391.7,3391.7,3291.9,3291.9,2159,75,75,76,74,75,25,25,24,26,25,76,76,80,80,68,32.662
16.7.2022,50:51.2,3391.7,3391.7,3391.7,3291.9,3491.5,1012.2,74,76,72,73,74,26,24,28,27,26,76,76,80,80,67,22.158
16.7.2022,50:53.3,3391.7,3391.7,3391.7,3391.7,3391.7,1585.1,73,74,77,71,70,27,26,23,29,30,77,77,79,79,69,28.028
16.7.2022,50:55.4,3291.1,3291.1,3291.1,3291.1,3291.1,957.4,70,74,71,69,67,30,26,29,31,33,74,74,74,74,67,21.181
16.7.2022,50:57.4,3390,3390,3390,3390,3390,1010.3,72,71,73,70,74,28,29,27,30,26,73,74,76,76,66,22.354
16.7.2022,50:59.6,3690,3590.3,3590.3,3789.8,3789.8,1485.2,90,92,87,91,91,10,8,13,9,9,95,92,96,96,67,25.582
16.7.2022,51:01.7,3365.1,3290.3,3290.3,3390,3489.7,1347.1,71,69,74,71,71,29,31,26,29,29,74,74,76,76,66,24.8
16.7.2022,51:03.8,3289.5,3289.5,3289.5,3289.5,3289.5,2069.7,73,73,77,70,70,28,27,23,30,30,77,77,77,77,68,33.524
16.7.2022,51:06.1,3516.4,3691,3391.7,3491.5,3491.5,1829.7,92,93,87,95,93,8,7,13,5,7,95,95,95,95,68,27.299
16.7.2022,51:08.2,3590.3,3590.3,3590.3,3590.3,3590.3,1229.6,72,72,75,69,71,28,28,25,31,29,75,75,81,81,68,25.636
16.7.2022,51:10.2,3543.9,3593.8,3593.8,3494,3494,1121.7,71,71,77,69,68,29,29,23,31,32,77,77,76,76,67,26.11
16.7.2022,51:12.3,3391.7,3391.7,3391.7,3391.7,3391.7,999.2,72,71,75,71,69,29,29,25,29,31,75,75,78,78,67,24.104
16.7.2022,51:14.4,3340.2,3390,3390,3290.3,3290.3,974.9,71,70,72,72,71,29,30,28,28,29,72,72,76,76,67,21.651
16.7.2022,51:16.7,3593,3692.8,3593,3493.2,3593,2081.2,92,94,86,95,93,8,6,14,5,7,94,95,96,96,68,30.189
16.7.2022,51:18.8,3390,3390,3390,3390,3390,1690.5,71,69,70,69,74,30,31,30,31,26,73,74,76,76,67,27.147
16.7.2022,51:20.9,3093.2,3093.2,3093.2,3093.2,3093.2,2047.6,75,80,74,74,70,26,20,26,26,30,80,80,80,80,68,30.691
16.7.2022,51:23.3,3588.6,3688.3,3588.6,3588.6,3488.9,1477.6,91,93,85,95,90,9,7,15,5,10,95,95,94,94,68,24.177
16.7.2022,51:25.3,3639.3,3589.5,3589.5,3589.5,3788.9,2559.1,92,95,87,90,94,9,5,13,10,6,95,95,95,95,69,35.757
16.7.2022,51:27.4,3293.6,3193.8,3293.6,3293.6,3393.4,2053.8,72,73,75,72,69,28,27,25,28,31,75,75,78,78,68,31.135
